代碼,類型,貨號,名稱,已發佈,是特色商品？,目錄的可見度,簡短內容說明,描述,折扣價開始日期,折扣價結束日期,稅金狀態,稅率類別,有庫存？,庫存,低庫存量,允許無庫存下單嗎？,單獨銷售?,"重量 (公斤)","長 (公分)","寬 (公分)","高 (公分)",允許客戶評論嗎？,購買備註,特價,原價,分類,標籤,運送類別,圖片,下載限制,下載點過期天數,上層,組合商品,追加銷售,交叉銷售,外部網址,按鈕文字,位置,"屬性 1 名稱","屬性 1 值","屬性 1 可見","屬性 1 全域","屬性 2 名稱","屬性 2 值","屬性 2 可見","屬性 2 全域","Meta: model","Meta: caryear-start","Meta: caryear-end","Meta: size","Meta: dpi","Meta: oem-no","Meta: gasket-no","Meta: drain-plug","Meta: product-id-old","Meta: has_been_duplicated"
223888,simple,,GE-101 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7247_img_1.jpg,,,,,,,,,0,VEHICLE,PERKINS,1,1,MANUFACTURER,GENERATOR,1,1,,,,2-15/16X42-1/2(74X1079.6),,,GE-301,,7247,
223889,simple,,GE-201 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7248_img_1.jpg,,,,,,,,,0,VEHICLE,PERKINS,1,1,MANUFACTURER,GENERATOR,1,1,,,,2-15/16X42-1/2(74X1079.6),,,GE-301,,7248,
223890,simple,,HI-T101 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7251_img_1.jpg,,,,,,,,,0,VEHICLE,HINO TRUCK,1,1,MANUFACTURER,HINO,1,1,W/SENSOR,2002,2003,2-1/8X25-15/16(54.5X658.6),,,MI-334F,"QP-3050,ME-3002",7251,
223891,simple,,HI-T102 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7252_img_1.jpg,,,,,,,,,0,VEHICLE,HINO TRUCK,1,1,MANUFACTURER,HINO,1,1,17 TON,2004,,2-1/8X25-15/16(54.5X658.6),,164408081A,MI-334F,QP-3050,7252,
223892,simple,,HI-T202 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7253_img_1.jpg,,,,,,,,,0,VEHICLE,HINO TRUCK,1,1,MANUFACTURER,HINO,1,1,17 TON,2004,,"2-1/8X25-15/16
(54.5X658.6)",,164408081A,MI-334F,QP-3004,7253,
223893,simple,,HI-T103 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7254_img_1.jpg,,,,,,,,,0,VEHICLE,HINO TRUCK,1,1,MANUFACTURER,HINO,1,1,17 TON,2007,,2-1/8X25-15/16(54.5X658.6),,2420005266,MI-334F,QP-3050,7254,
223894,simple,,HI-T203 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7255_img_1.jpg,,,,,,,,,0,VEHICLE,HINO TRUCK,1,1,MANUFACTURER,HINO,1,1,17 TON,2007,,"2-1/8X25-15/16
(54.5X658.6)",,2420005266,MI-334F,QP-3004,7255,
223895,simple,,HI-T104 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7256_img_1.jpg,,,,,,,,,0,VEHICLE,HINO TRUCK,1,1,MANUFACTURER,HINO,1,1,,2008,2008,2-5/8X26(66X661),,,HI-T304,QP-3050/QP-3040,7256,
223896,simple,,"HI-T204,HI-T204Y - Copy",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7257_img_1.jpg,,,,,,,,,0,VEHICLE,HINO TRUCK,1,1,MANUFACTURER,HINO,1,1,,2008,2008,"2-5/8X26
(66X661)",,,HI-T304,QP-3004,7257,
223897,simple,,HI-T105 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7259_img_1.jpg,,,,,,,,,0,VEHICLE,420,1,1,MANUFACTURER,HINO,1,1,,2005,,3X31-5/16(76.5X795.5),,,,,7259,
223898,simple,,HI-T105A - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7261_img_1.jpg,,,,,,,,,0,VEHICLE,390,1,1,MANUFACTURER,HINO,1,1,,2004,,3X31-5/16(76.5X795.5),,,,,7261,
223899,simple,,IN-T115 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7281_img_1.jpg,,,,,,,,,0,VEHICLE,INTERNATIONAL,1,1,MANUFACTURER,INTERNATIONAL,1,1,,,,2-15/16X41-9/16(74X1056),,,IN-T306,QP-3002,7281,
